PBIT  %,Target Achieved %,Sales Target (₹),Total Sales (₹),Total Purchase (₹),Transactions,Sold Qty,PBIT  (₹),Gross Margin,Gross Margin %,Territory
4.16%,22.72%,7060684,1603967,1370442,354,2553,66786.3309781102,259619.26005481606,16.19%,Belagum
-2.54%,28.14%,11484907,3231520,3025817,659,4271,-82119.03051188069,229735.6041124574,7.11%,Bellary
0.56%,36.90%,5955585,2197649,1962432,468,3134,12355.771893606885,246064.63101753304,11.20%,Raichur
-0.67%,23.42%,10502897,2459355,2192116,661,4271,-16469.304095624204,284515.69833867945,11.57%,Ranebennur
