PBIT  %,Target Achieved %,Sales Target (₹),Total Sales (₹),Total Purchase (₹),Transactions,Sold Qty,PBIT  (₹),Gross Margin,Gross Margin %,Territory
NaN,21.83%,34827830,7602597,6595191,1628,11266,NaN,1148813.694345358,15.11%,Belagum
-5.75%,31.04%,56605451,17571768,16919437,2851,22819,-1009681.6368030288,704067.2992065004,4.01%,Bellary
-3.20%,35.00%,29704927,10397240,9551624,1933,13885,-332582.06637520884,915654.4720485831,8.81%,Raichur
-0.55%,27.64%,49205480,13598458,11924764,3267,21963,-74525.84027186324,1792138.1075541659,13.18%,Ranebennur
