PBIT  %,Target Achieved %,Sales Target (₹),Total Sales (₹),Total Purchase (₹),Transactions,Sold Qty,PBIT  (₹),Gross Margin,Gross Margin %,Territory
-34.72%,15.63%,6585095,1029282,895676,304,1659,-357353.0911097699,161885.75274364272,15.73%,Belagum
-17.88%,33.50%,10665821,3573010,3341598,553,4737,-639030.0583279162,238218.92072318215,6.67%,Bellary
-18.36%,42.73%,5882587,2513852,2347788,315,3213,-461563.36805497593,192458.47435878226,7.66%,Raichur
-28.05%,34.95%,7193893,2514412,2327131,521,3509,-705190.4354624534,216841.6438343157,8.62%,Ranebennur
