PBIT  %,Target Achieved %,Sales Target (₹),Total Sales (₹),Total Purchase (₹),Transactions,Sold Qty,PBIT  (₹),Gross Margin,Gross Margin %,Territory
NaN,31.68%,81830480,25920700,23355056,4704,35067,NaN,3284543.4588294993,12.67%,Belagum
-8.89%,28.61%,111610009,31926975,30754100,5742,38870,-2838472.988017932,1753265.9910442051,5.49%,Bellary
NaN,33.87%,66826132,22636788,20933178,4290,27954,NaN,1927169.12466865,8.51%,Raichur
NaN,31.13%,144794451,45067378,41556065,9110,70287,NaN,4092664.7374083577,9.08%,Ranebennur
